name,type,area,address,phone,fee,timings,rating,lat,lon,amenities,website
Cult Neo Gym Khanpur,Gym,Khanpur,,,,,,28.512798,77.232395,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-neo-gym-khanpur/2862
Cult Neo Gym Mahavir Enclave Part 3,Gym,Mahavir Enclave,,,,,,28.600032,77.078978,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-neo-gym-mahavir-enclave-part-3/2953
Cult Neo Gym Sector 23 Rohini,Gym,Rohini Sector 23,,,,,,28.722761,77.080939,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-neo-gym-sector-23-rohini/2794
Cult Ashok Vihar,Gym,Ashok Vihar,,,,,,28.688517,77.173934,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-gym-ashok-vihar/3110
Cult Neo Gym Dilshad Garden,Gym,Dilshad Garden,,,,,,28.675886,77.321446,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-neo-gym-dilshad-garden/2990
Cult Neo Gym Jahangirpuri,Gym,Jahangirpuri,,,,,,28.725972,77.162658,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-neo-gym-jahangirpuri/3092
Cult Neo Gym Najafgarh,Gym,Najafgarh,,,,,,28.61245,76.986507,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-neo-gym-najafgarh/2941
Cult Neo Gym Vishwas Nagar,Gym,Vishwas Nagar,,,,,,28.66447,77.291741,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/cult-neo-gym-vishwas-nagar/2940
Fitness First Select City Walk,Gym,Saket,,,,,,28.521168,77.202224,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/fitness-first-select-city-walk/2669
Fitnest Prime Prashant Vihar,Gym,Prashant Vihar,,,,,,28.714633,77.134105,"Locker, Shower, Washrooms",https://www.cult.fit/cult/cult-pass/delhi-ncr/fitnest-prime-prashant-vihar/666
