name,type,area,address,phone,fee,timings,rating,lat,lon,amenities
Anytime Fitness Saket,Gym,Saket,"No 28, Community Centre, PVR Anupam Complex, Saket, New Delhi - 110017",+919810044949,,Open 24 hours,,28.5349878,77.2105284,"24/7 Access, Personal Training, Locker Rooms"
Planet Ultrafit,Gym,Saket,"J-290, Saket Road, Block J, Saket, New Delhi - 110017",+919999737252,,,,28.5200545,77.2035767,"Personal Training, Group Classes"
Steel Muscle,Gym,Saket,"Said-ul-Ajaib, Saket, New Delhi",+919717525951,,,,28.5178234,77.2061536,
Fitness Zone Gym II,Gym,Khanpur,"Khanpur, New Delhi - 110030",+919873358538,,,,28.5103429,77.2020841,
Fitwyse,Gym,Malviya Nagar,"Malviya Nagar, New Delhi",,,,,28.5352213,77.2105429,
Workout Studio,Gym,Malviya Nagar,"Malviya Nagar, New Delhi",,,,,28.535558,77.2103575,
Get Fit Studio,Gym,Malviya Nagar,"Shivalik, Malviya Nagar, New Delhi",,,,,28.5405577,77.212576,
Fatangs United,Gym,Sheikh Sarai,"Sheikh Sarai, New Delhi",,,,,28.5338549,77.2220693,
Saket Sports Complex,Activity Centre,Saket,"Mandir Marg, Press Enclave Road, Saket, New Delhi",,,,,28.5253466,77.2122244,"Swimming Pool, Courts, Parking"
